,text,sentiment,labels,ca_related
140,"I sanitize, wash, wear my mask, socially distance, have the vaccine, and still caught covid.  It was nothing more than a slight cold.  The reason I was tested is that my mother had it.  I had a cough and on one day a slight fever.",neut,pandemic-logistics,na
141,Catch me in bed all day because my second dose of the vaccine made me feel like shit and I’m not about to go to work when I don’t feel good from the vaccine they forced me to get to keep my job. Ya feel?✌🏻,neut,vax-efficiency,na
142,So a Federal Judge overruled the Vaccine Mandate for everyone except the military. Seems a bit discriminatory to leave them out.,neut,pandemic-legal,na
143,The city's walk-in vaccine centres have seen snaking queues following confusion around jab rules. https://t.co/0hUyhB3YFA,neut,pandemic-logistics,na
144,"So according to the symptoms, either the omicron variant is really vaccine side effects or the vaccine doesn’t work. 🤷🏾‍♂️",neut,vax-efficiency,na
145,"Is it even irony any more?

Marcus Lamb, anti-vaccine Christian broadcaster dies after Covid battle.
https://t.co/wQTqiGWhvN",neut,covid-controversy,na
146,stormont has evidence to back up vaccine passports only problem is the evidence actually doesn't say anything about them and for infection and transmission insufficient data their 3 points are the same worded differently @columeastwood @moneillsf @naomi_long @SMcLaughlinmla https://t.co/eG0Ai1H1Hy,neut,vax-efficiency,na
147,Biden Admin Considering Seven-Day Home Quarantine for Americans Returning from Other Countries Regardless of COVID Vaccine Status or Negative Tests https://t.co/KApTPVx87i,neut,pandemic-logistics,non-ca
148,"Want to know what's in the vaccine?
https://t.co/8Fl7yE5Qe0. lists everything yhat is in the vaccine",neut,pandemic-logistics,na
149,EU president Ursula von der Leyen says ‘discussion’ needed on mandatory Covid vaccination https://t.co/VSepxwZWDi https://t.co/kpJHdn7Mg6,neut,pandemic-legal,non-ca
150,"Cautious optimism from #Israel regarding the #Omicron variant - three vaccines are the recipe for protection against the spread of the virus.
https://t.co/NG8W1z5hqr",neut,covid-controversy,non-ca
151,"""In conclusion, the mRNA BNT162b2 vaccine induces complex functional reprogramming of innate immune responses, which should be considered in the development and use of this new class of vaccines."" 
https://t.co/cqkZTomQa0",neut,vax-efficiency,na
152,"You will never be allowed in my community if you either support the vaccine mandate now or mocked anyone who is against the clotshot. Also no draadsitters, no matter how smart you think you are in playing it safe.",neg,covid-controversy,na
153,"I’ve said it before, but Malhotra is on his way to going full Wakefield. Here he links covid vaccine to heart problems with no evidence.

He is trying to sell you his diet book

That’s right: he cares only about enlarging his bank account and is willing to risk lives for it https://t.co/SJOJ9zw4Ag",neg,covid-controversy,na
154,The Fifth Circuit Has Harsh Words For Biden's Vaccine Mandate https://t.co/JzF2XATJ7s,neg,pandemic-legal,non-ca
155,"""A CRAZY MESS""!! Pfizer Whistleblower SLAMS Vaccine Trials https://t.co/D1OHwNF0FR via @YouTube",neg,covid-controversy,na
156,Leading Cardiologist Says Researchers Are Refusing to Publish Supporting Study Results That Show Covid Vaccine's Link To Massive Increase In Heart Attacks https://t.co/heigI5G4hQ via @gatewaypundit,neg,vax-efficiency,na
157,"When you see the UK and other govts using the new variants to instill panic, as well as WEF friendly MSM, know now they are EXPOSED as using FEAR which is unwarranted, to justify imposing authoritarian restrictions and vaccine push https://t.co/u4BHQfMuMZ",neg,covid-controversy,na
158,"This is the REPUBLICAN WAR ON CHRISTMAS...

@SenSchumer @SenateDems please do something. We simply CAN'T afford this madness. 

Conservative Senate Republicans reportedly plan to force a government shutdown over vaccine rules https://t.co/dGIs9qOQmK",neg,covid-controversy,na
159,‘General Hospital’ Has No Plans to Recast Steve Burton’s Role Following Vaccine Mandate Firing https://t.co/zdy9yVWYTy via @variety,neg,pandemic-legal,non-ca
160,"The COVID vaccine has killed nearly as many Americans as guns in 2021, going by the CDC’s own statistics. The concerning part is the government is paying people to take the vaccine. https://t.co/J7Yn4DrYBy",neg,covid-controversy,non-ca
161,Trump-appointed judges block Biden administration vaccine mandate for health-care workers https://t.co/i2ETcSeJn7,neg,pandemic-legal,non-ca
162,"A group of Republicans are plotting a government shutdown to derail Biden's vaccine mandate, report says https://t.co/gce6QQ2C3N #followforfollow",neg,pandemic-legal,non-ca
163,POLITICO Playbook: Scoop: Conservatives plot government shutdown over vaccine mandate https://t.co/Xo8oTnZbxi via @politico,neg,pandemic-legal,na
164,"Okay, if you don't see THIS as the mark of the beast,  you truly are a dumb cluck and deserve what you get.
#VaccineMandate
#Beast
https://t.co/yr6LADCsQ1",neg,pandemic-legal,na
165,This is one of those headlines that makes me think the vaccine causes cancer. https://t.co/sMumqEJ6lb,neg,vax-efficiency,na
166,"Current COVID-19 vaccines likely won't work as well against Omicron variant, Moderna's CEO says - CBS News https://t.co/OvwrFQ48MQ https://t.co/Sg8vSp4XTB",neg,vax-efficiency,ca
167,"says the person who is doomed to repeat history because they refuse to learn anything about it.

vaccine mandates are fascist and will hurt more people than they help. you’re on the wrong side of history. https://t.co/F7Y3gpCade",neg,pandemic-legal,na
168,". @jimcramer’s dumbass is trying to defend his insane vaccine mandate suggestion, AGAIN

this guy has lost his fucking mind

don’t like being called a Nazi, Jim?  How about an authoritarian fascist, you fucking psychopath?

Completely unhinged.  @CNBC must be better.",neg,pandemic-legal,non-ca
169,"Courts block Covid vaccine mandates for healthcare workers nationwide
Link: https://t.co/kl7MiOx1wn
Comments: https://t.co/sDv3lj1cR9",neg,pandemic-legal,na
170,"THE MYSTERY OF QUEENSLAND’S OVERFLOWING EMERGENCY DEPARTMENTS
“IS THERE ANY CONNECTION BETWEEN THE HUGE NUMBERS PRESENTING AT OUR EMERGENCY DEPARTMENTS AND PEOPLE EXPERIENCING ADVERSE REACTIONS TO THE VACCINE”? https://t.co/4Bfa3Gld5Y",neg,vax-efficiency,na
171,"Yeah everyone short a company with a COVID vaccine that showed awesome results, go short at 6$ when the 52 week low is 4$ and the high is over 70$… idiots hope u all lose big and catch the Omicron after🖕 $NRXP https://t.co/LGkQSlpyJ1",neg,covid-controversy,na
172,The Covid 19 vaccine will possibly give you a brain tumor… just saying.,neg,vax-efficiency,na
173,"To prevent one COVID-19 related death, Pfizer admits their vaccine kills at least three people by causing cardiac arrest https://t.co/UhYwhcCY6l   Includes a link to Pfizer clinical trial.",neg,vax-efficiency,na
174,"NO, more scaremongering. Why not encourage people to go out, variants happen, covid is now the same as flu with natural and vaccine induced immunity. Push anymore vaccines and variants will continue at a faster pace https://t.co/mauBwA4FQt",neg,covid-controversy,na
175,Hundreds of NYC correction workers face suspension over vaccine mandate https://t.co/ctWVHCLC9Y,neg,pandemic-legal,non-ca
176,U.S. Judge Terry A. Doughty said vaccine mandates by the Biden Administration is an infringement of American’s Civil liberties and that even the unvaccinated have Civil Liberties. He wrote civil liberties face grave risk when governments impose indefinite states of emergency.,neg,pandemic-legal,non-ca
177,Hey @chucktodd @MeetThePress @mmurraypolitics I’d u want to write failure of vaccine mandates look no further 👇👇👇👇 republicans death colt. Gee why elitist media is crap https://t.co/zJHCeeCvDW,neg,pandemic-legal,na
178,"YALL IM NOT ANTI-VAX BUT FOR THE LOVE OF GOD I DONT WANT THE VACCINE, IM TERRIFIED OF NEEDLES THEY KNOCK ME SICK. I CANT HELP IT. AND IM GETTING KINDA SCARED BECAUSE EVERUTHING RN IS MAKING YOU GET VACCINATED IDK WHAT TO DO",neg,covid-controversy,na
179,"&gt;&gt;&gt;&gt;&gt;&gt;&gt; NEVER ISOLATED&lt;&lt;&lt;&lt;&lt;&lt;&lt;

""The COVID narrative is unravelling China said they never isolated the virus and Fauci admits the vaccine does not work, so he recommends getting the 4th booster shot.""",neg,vax-efficiency,non-ca
180,Louisiana federal judge blocks Biden vaccine mandate for health care workers nationwide | Fox News https://t.co/AxpyOKKNbo,neg,pandemic-legal,non-ca
181,"“Jonathan Lamb described his father's Covid infection as ""a spiritual attack from the enemy"" to ""take down"" Marcus Lamb.” JFC. The narcissism of these people. Your father did not die from a spiritual attack. He died from a virus. A safe, effective vaccine could’ve saved his life. https://t.co/G9ulE0KaeA",neg,covid-controversy,na
182,"A little good news, but all vax mandates should be lifted everywhere. They are not constitutional 

Louisiana federal judge blocks Biden vaccine mandate for health care workers nationwide | Fox News https://t.co/bnmIqbS6qJ",neg,pandemic-legal,non-ca
183,"🚨Big news🚨

A federal judge just blocked the Biden Administration's vaccine mandate for health care workers citing it as unconstitutional.

He stated that “indefinite states of emergency pose grave risks” to civil liberties.

This is the correct decision and good for America. https://t.co/RJx8qRVxth",neg,pandemic-legal,non-ca
184,"BREAKING NEWS!

Breathing fresh air is not going to kill you but the experimental vaccine might.

https://t.co/zWeEhHF4MU https://t.co/g7lCIETOyd",neg,covid-controversy,na
185,"THEY KNOW THE ECONOMY IS BROKEN! they want it completely destroyed, so they can BUILD BACK BETTER &amp; impliment their financial reset (long planned) China style social credit score system with DIGITAL ID’s sold to you as vaccine passports. Covid19 is just a tool to make you accept. https://t.co/LpIiyKQaVE",neg,covid-controversy,non-ca
186,"“Cytokine Storm can trigger Psychosis”

World Health Organization’s global drug database of adverse drug events, VigiBase, lists 121,559 cases of psychiatric disorders following COVID vaccine administration. https://t.co/1Deg1tk0Ps",neg,vax-efficiency,na
187,"This is more evidence Ds know absolutely nothing worth knowing about political ecology.  Or any other decency.
Conservatives Plot Shutdown Over Vaccine Mandate https://t.co/DpVVV3Din5 via @politicalwire",neg,pandemic-legal,na
188,GOPers Plotting Govt Shutdown to Foil Biden Vaccine Mandate: Report #StockRedemption #ProtectYourBusiness #LifeInsuranceForBusiness [Video] https://t.co/mp7NKfdDuN,neg,pandemic-legal,non-ca
189,"great news. but, oh wait, @Folkehelseinst and @ingvildkjerkol do not plan to make the vaccine available for all kids. @vgnett @Aftenposten @bergenstidende @DN_no @NRKOstland and no journalist even discusses this? @anspurk @BentHHoyre @erna_solberg https://t.co/Oc1kWlMAdQ",neg,covid-controversy,na
190,HItler @jimcramer doubles down on the Vaccine Mandate or get rounded up by the military. How long before He puts the unvaccinated in ovens. @RaheemKassam @tedcruz @RandPaul,neg,covid-controversy,na
191,https://t.co/gTcH7z2k8c Why is Obama touring with Fauci for an experimental drug that has caused heart inflammation in many young kids for a virus that has a 99.98 survival rate.,neg,vax-efficiency,non-ca
192,"The vaccine mandate is a sham. 

“It appears to be grossly negligent to ignore the vaccinated population as a possible and relevant source of transmission when deciding about public health control measures.”

https://t.co/EAWaJalTmO",neg,pandemic-legal,na
193,"So we're back to square one with 😈Omicron😈
*The vaccine is ineffective against it
*It spreads quickly
*Hospitals are ""ramping up efforts"" against it

Are we really going to do this bullsh*t again?",neg,vax-efficiency,na
194,"Nurses the vaccine mandate has been BLOCKED by a Federal Judge. We at NNAA encourage vaccinations, WE DO NOT advocate forcing them! Self Actualization and Informed Consent cannot be violated! https://t.co/k6FwEAgieK",neg,pandemic-legal,na
195,they blocked the vaccine mandate in 10 states unfortunately PA isn’t one yet 😩,neg,pandemic-legal,non-ca
196,"SECDEF Austin rejects OK Nat'l Guard vaccine exemption request; unvaccinated troops may lose federal pay https://t.co/02icoWzNBT via @amermilnews

“He who pays the piper calls the tune.”  

This is what happens when a democratic republic devolves into a totalitarian state.",neg,covid-controversy,na
197,"Seems Undemocratic to force people to have an experimental vaccine…
@PrisonPlanet https://t.co/BDWcXjfpGu",neg,covid-controversy,na
198,"I am a child of God!! One the very day my religious exemption hit my HR department, the vaccine mandate for indiana has been paused pending lawsuit!!!!!!! Small win for everyone!!!!",neg,pandemic-legal,na
199,haven't heard a single coherent argument for taking a vaccine lmao. like not one even slightly convincing argument. i at least had to think about the holocaust. come on jews. do better.,neg,covid-controversy,na
200,"This is big news! The fight back begins! #DoNotComply #SayNoToVaccineMandate 

Republicans threaten to shut down government over vaccine mandates https://t.co/04AbE1cAqG via @yahooNewsUK",neg,pandemic-legal,non-ca
201,"How many folks out there think that if tfg had stayed on, we would have had to pay for the vaccine and the money would have gone into his pocket?",neg,pandemic-logistics,na
202,Big fan @jimcramer.  But you went to @Harvard.  You should know the Constitution is NOT a *RIGHT* granting document.  It’s an *AUTHORITY* granting document.  And nothing in the Constitution grants the government authority to mandate the people inject themselves with a vaccine. https://t.co/6a5QJEmoLj,neg,pandemic-legal,na
203,"Federal Judge Blocks Biden Vaccine Mandate for Health Care Workers Nationwide
November 30, 2021 KTBS 3

https://t.co/q9Fttd1p2H",neg,pandemic-legal,non-ca
204,Louisiana Judge Delivers A Nationwide Block On Biden's Vaccine Mandate For Healthcare Workers #HealthCare #health #ui via https://t.co/1KR2Qvy5Ah https://t.co/isnAb6y71l,neg,pandemic-legal,non-ca
205,Republicans boost benefits for workers who quit over vaccine mandates https://t.co/HUDmDh8llF,neg,pandemic-legal,na
206,"Covid 19, You must wear your mask, you must get your vaccine, you must get your booster 🙄

Sorry but you're mistaking me for someone else 🤔 Someone who actually believes your incessant Bleating Bullshit",neg,covid-controversy,na
207,"It’s funny to see people upset that people won’t take a vaccine that doesn’t do what it was *originally* promised to do. Certainly, if it prevented transmission and the numbers got better after rollout more people would be willing to get it. Unfortunately, it didn’t. Case closed.",neg,covid-controversy,na
208,"Wishful thinking. Govs like Murphy will not allow that. #NJ #murphysucks  RT @Lancegooden Joe Biden's vaccine mandate has been SUSPENDED for health workers in 10 states.

Now it's time to BAN the vaccine mandate in ALL 50 states for ALL workers!",neg,pandemic-legal,non-ca
209,Our response to Covid19 and vaccine efforts aimed at fighting it have been so steeped in xenophobic attitudes towards the global south and structural racism it pretty much guarantees that we're never going to beat this thing. #OmicronVariant #COVID19 https://t.co/hVrRbheOIZ,neg,covid-controversy,na
210,"The VACCINATED SPREADNITNCATCH IT AND GET SICK FUXK YOUR VACCINE!!!...Canadians are losing patience with the unvaccinated — and the Catholic Church is sending mixed signals

https://t.co/KEszKrSig0",neg,covid-controversy,ca
211,Peter Navarro to Newsmax: Overdeploying Vaccine Creating 'Vaccine Resistant Mutations' https://t.co/9ELi1t1tvI via @Newsmax,neg,vax-efficiency,non-ca
212,New report says 88% of Canadians are failing in physical fitness…..to those I say…..phuk off with your vaccine pushing!!!! The easiest thing you can do to prevent diseases of ALL types is to exercise and eat healthy!!!!,neg,covid-controversy,ca
213,"Another serious injury from the shot. She joined a trial study for the vaccine yet now she’s labeled anti vaxxer? I label her, HERO. She sacrificed her own well being to help others yet now has to beg for help? Give her answers @CDCgov ! Stop this now.

https://t.co/tNPZFD5E6Z",neg,covid-controversy,ca
214,"Tonight, Wednesday, December 1st at 6 pm on Sauga 960 AM I interview ✅ Kelly Anne Wolfe. You can also access ALL my podcasts and videocasts at: https://t.co/UqOClhnMSQ. 📌 Kelly Anne Wolfe is a leader of the anti mask, anti lockdown, anti vaccine mandate movement. Originall... https://t.co/l12Dt7tUs7",neg,pandemic-legal,non-ca
215,Drs. Bryan Ardis and Peter McCullough talk about athletes dying after getting COVID vaccines – https://t.co/yZ5f2qbIs0 https://t.co/HY7c2rA1Uj https://t.co/XYPuzIr9Cl,neg,vax-efficiency,non-ca
216,They know it Does NOT PREVENT COVID SPREADS MORE TO OTHERS KILLS ALL NATURAL IMMUNITY YOU HAD. IT IS A GENOCIDE VACCINE KILLING HEALTHY YOUNG  AS IT WAS DESIGNED TO DO  POPULATION CONTROL IS WHY FAUCI MADE COVID 19 RELEASED IT SO THEIR POISON VACCINE CAN BE FORCED https://t.co/zBrXM8uGSa,neg,covid-controversy,na
217,BREAKING: Federal Judge Blocks Vaccine Mandate Nationwide - Protects Health Care Workers Across America https://t.co/cXBeFwyylD via @gatewaypundit,neg,pandemic-legal,na
218,"A group of Republicans are plotting a government shutdown to derail Biden's vaccine mandate, report says https://t.co/uCyXYAwb2G via @businessinsider",neg,pandemic-legal,non-ca
219,"Despite Joe Biden's best efforts, federal vaccine mandates are simply unconstitutional. Thank you @Yost4Ohio for fighting for the people of Ohio against Democrat overreach in Washington.
https://t.co/JwiRyPSBDR",neg,pandemic-legal,non-ca
220,"Its actually like vaccine dependency as the immunue system tires of repeated insults and actually befriends a pathogen. Goes along to get along.
Bacteria just mutate to resistThe jabs are like taking 2 Tylenol daily to avoid a headache you dont have. It just destroys your liver https://t.co/Z1nCFbTRJl",neg,vax-efficiency,na
221,Leading Cardiologist Says Researchers Are Refusing to Publish Supporting Study Results That Show Covid Vaccine's Link To Massive Increase In Heart Attacks https://t.co/6A54gRMnrx via @gatewaypundit,neg,vax-efficiency,na
222,"How long before CDC, PFE, MRNA and media declare vaccine side effects in many people (not majority), like inflation, is not transitory?",neg,vax-efficiency,na
223,Thousands of provincial workers won't comply with COVID-19 vaccine mandates https://t.co/mMNST0SDvO,neg,pandemic-legal,na
224,"Covid-19 virus is not the goal
The vaccine is the purposeThe vaccine is the disaster https://t.co/2s3NYlfhoh",neg,covid-controversy,na
225,"🚨 News: Conservatives are quietly plotting to shut down the government this Friday unless Dems defund vaccine mandates in the CR
Due to the last minute scramble &amp; Senate procedures requiring UC, they think they can ⁦@playbookdc⁩  https://t.co/RSSqFGMb6B",neg,pandemic-legal,na
226,Tired of this vaccine talk….covid talk….sick of just about everything ppl talking about,neg,pandemic-logistics,na
227,"In general, unvaxxed people have well-considered reasons and rationale for not being vaccinated. It is society’s Karens who demonstrate the most extreme psychoses.
https://t.co/MfrzOFpP51",neg,covid-controversy,na
228,"- Hey guys it's a new variant
- Hey guys it's showing symptoms that match vaccine side effects- Hey guys it can infect the fully vaxxed which never happened before now https://t.co/2KkYZ7i63g https://t.co/cqNhH2fMeJ",neg,vax-efficiency,na
229,"1) ❗️Second federal judge deals hammer blow to Biden vax mandate - orders healthcare workers nationwide injunction
A federal judge in the State of Louisiana blocked President Biden’s vaccine mandate for health care workers Tuesday issuing a nationwide injunction. (Reuters)",neg,pandemic-legal,na
230,"Utterly unbelievable!
Sale of UK vaccine centre smacks of short memory syndrome https://t.co/laPNWvuaIa",neg,vax-efficiency,non-ca
231,"The real conspiracy theorists believe with each covid variant needs new vaccines and boosters,masks and social distancing,isolation,proof of QR code check-in and or proof of vaccine status.They also believe they are immune from contracting or spreading the variants.",neg,covid-controversy,na
232,"When you have a governor like @GovMurphy making decisions about forcing people to get the vaccine, it’s a violation of the constitution. People should not be forced to get a vaccine. It’s their body and their choice.",neg,pandemic-legal,na
233,I wish I had the mental acuity at day 628 of the apocalypse to express this feeling succinctly but I continue to be deeply troubled that Americans are normalizing boosters and the IP of the vaccine which much of the world has little access to remains proprietary,neg,pandemic-logistics,na
234,The vaccine rollout made it crystal clear COVID is staying permanently.,neg,vax-efficiency,na
235,What I don't understand is we know that vaccinated people can get and spread covid? Why mandate a vaccine that has potentially life threatening side effects and is not FDA approved. No accountability? https://t.co/pfjW01w2Kp,neg,covid-controversy,na
236,"So the whole fam has covid, the sickest ones are the ones with the vaccine… make it make sense",neg,covid-controversy,na
237,"And this wise guy is pushing vaccine for  kids. Survival rate from the virus is bigger than the vaccine!
They Wana make a trial with the vaccine on your kids!!!!Do not comply!!!!!!!!! https://t.co/NmWnjBsZqq",neg,covid-controversy,na
238,"read a paper this morning that not only does the covid vaccine not cause male fertility problems, sperm count was higher 70 days after the second dose, great news for all you sperm kings and queens out there",neg,vax-efficiency,na
239,"In Sweden, they actually are implanting microchips in peoples hands to convey vaccine status. 😡",neg,covid-controversy,non-ca
240,"You are right my friend , but with the exception of the Mumps vaccine 4 years 10months, the rest took decades to perfect. The present Covid Vaccines took less than a year. So there is no like for like for like here. https://t.co/Ou2YJlOvuy",neg,covid-controversy,na
241,“I am outraged the kids who were killed in that school shooting were forced to wear masks! The vaccine hoax left is ruining our children.” -Faux News Personalities,neg,covid-controversy,na
242,"So the solution will always be take another shot, just one more and you'll be safe....
Bull! We will never be ""safe"" in their eyes because true safety means they'd lose their tyrannical hold on us.https://t.co/ExeGZxPwQ6",neg,covid-controversy,na
243,Absolutely zero possibility I’ll be taking a Covid vaccine booster. I’ve done my part. Double jabbed is enough. I’ll watch and see what happens in the next few years first.,neg,covid-controversy,na
244,Idiots - wake up people- what’s been done isn’t working. It’s time to concentrate on ALL possible Therapeutics… what’s the definition of insanity? Doing the same thing over again expecting different results. Stop believing in a vaccine that clearly doesn’t work https://t.co/yk7Lw0Wt0U,neg,covid-controversy,na
245,"""Allowing new variants to emerge and spread, 13 months into the vaccine era, is a policy choice by the rich world."" https://t.co/SeQdKmCrIH",neg,covid-controversy,na
246,In there opinion the Flaws are-People having heart issues after the vaccine and talking about it. https://t.co/J8b4u8k9Z7,neg,vax-efficiency,na
247,"This doctor was recently beat to death for what he knows and what he published about this so called vaccine. You still want that shot? I sure as hell do not so stop trying to mandate a death sentence on the population. @JoeBiden. 
HeyJoeWeKnow!#NoVaccineMandates #NoMeansNo https://t.co/nHc4zmhihK",neg,pandemic-legal,non-ca
248,"COVID VACCINE EFFICACY/SAFETY DATA ALONE SHOULD BE ENOUGH TO END THESE MANDATES.  DOES NOT STOP TRANSMISSION.  MORE ADVERSE EVENTS IN 6 MONTHS THAN ALL OTHER VACCINES FOR THE LAST 30 YEARS COMBINED.  STILL ""EXPERIMENTAL"".  
CRIMES AGAINST HUMANITY UNFOLDING BEFORE OUR EYES.",neg,covid-controversy,na
249,⁦@RandPaul⁩ ⁦@DonaldJTrumpJr⁩ it’s Shameful that President Trump and now Senator RAND Paul seem to both become a salesman for big Pharma another vaccine what for more mandates more money for big Pharma from the government Fr taxpayer $ #LBG https://t.co/4t6XtuPir2,neg,covid-controversy,non-ca
