text,sentiment,labels,ca_related
"Did Pfizer Collaborate With The WHO To Punish South Africa For Refusing Shipments Of The Vaccine?

https://t.co/iGYeRCMNBh

#COVID19 #covid #OmicronVariant #covidvariant",neg,vax-logistics,non-ca
"After just three days, Waterloo Public Health says 10 per cent of children aged five to 11 from the area have received a dose of COVID-19 vaccine.
https://t.co/WrNfZqtdb8",NA,NA,NA
"12-15 years olds will be offered a second dose of the Pfizer-BioNTech vaccine, no sooner than 12 weeks after their first dose.

This follows the recommendation of the independent Joint Committee on Vaccination and Immunisation.

The NHS will contact you when it is your turn. https://t.co/PFOoYn6h9h",pos,vax-logistics,non-ca
"NEWS: Biden says he supports a Covid vaccine patent waiver. But I obtained docs that show, at today's WTO TRIPS Council meeting, the admin failed to take meaningful action to pass such a waiver, &amp; is saying and doing very little to make a waiver a reality. https://t.co/UfF3lI6KGg",neg,vax-legal,non-ca
They took me off the schedule today because i won’t get the Covid vaccine and i ain’t! ✌🏾,neg,antivax-args,na
"If you bought a fake vaccine card for your holiday trip, you are a criminal. Period.

I'm all for freedom of choice but will not stand for fraud and corruption. https://t.co/tq8ouCyD2f",pos,vax-logistics,na
Pfizer Hires Lord Biden to do vaccine Infomercial disgusting display of lies HTS 112921 https://t.co/IgcuYIHOiI via @BitChute,neg,antivax-args,non-ca
I went to school with some. Then the vaccine came out and everyone got it! https://t.co/wuBB6kevPQ,pos,vax-logistics,na
"JUST IN - Big Pharma is confident that they can develop a vaccine specifically for the Omicron Variant fairly quickly - Fox Business.

Big Pharma is so Full of Sh*T it Stinks.",neg,antivax-args,na
"Absolutely insane!
Putting small businesses out of business in short time

https://t.co/X6TRlbtmlj",neg,vax-logistics,na
"There are currently 51candidates
Out of which, 10 candidates are in phase 3.
#coronavirus #COVID #Covid-19 #vaccine #vaccines #vaccination
Use #telegram and add bot 'CoronaTrackerNepal_bot' to get details and notifications.

Source: https://t.co/HmUwd0efIQ",neut,vax-logistics,na
"The Omicron variant underscores the global stakes of Covid-19 vaccine inequity - STAT

More medical news at https://t.co/pvWdUgzL00
#Epidemiology #MedTwitter #MedEd #MedNews
https://t.co/RZ6aOm96ed",neg,omicron,non-ca
"Let me put it this way, it's like playing Russian roulette with your life and the lives of your loved ones and everybody else around you. And the long-term effect won't matter if you've already dead. Get the shots and live to argue the long-term effect of the vaccine. https://t.co/vLupjL0MPW",pos,vax-logistics,na
What? Where they have been wearing masks and had vaccine passport 🤔 surely not masks work and the app keeps you safe 😂 https://t.co/22VG5yGPxG,neg,antivax-args,na
And another federal court rules against another Biden vaccine mandate - this time for health-care workers ⁦@carlyweeks⁩ ⁦@theresaboyle⁩ ⁦@DrVivianS⁩ ⁦@SenatorWallin⁩ ⁦@SenatorHousakos⁩ ⁦@Roman_Baber⁩ ⁦ https://t.co/Geo1G07dnP,neg,vax-legal,non-ca
The only immunity from Covid jabs was given by @BorisJohnson to the pharmaceutical companies that produce the vaccine. https://t.co/y7uQu4Tphu,neg,vax-efficiency,non-ca
Biden’s Vaccine Mandate for Health-Care Workers Halted by Court (1) https://t.co/IkmDeU6Wzc,neg,vax-legal,non-ca
No ONE is vaccinated against the seasonal flu called -19. The jab of goo is not a vaccine and we all know it or should. The left even ruined the word vaccine! No anything as it refers to -19. https://t.co/TNqW8y2vgy,neg,antivax-args,non-ca
"China's Xi is now taking on everyone by his pledge to donate 1 billion doses of #Covid19 vaccine to african countries. Is that a 10-year plan or what.
Come on.",pos,vax-logistics,non-ca
"I agree
PROOF THAT THE PANDEMIC WAS PLANNED &amp; WITH PURPOSE https://t.co/OXr5tImnT8

https://t.co/l0StZWDwpB https://t.co/0xFkzhJ9VV",neg,antivax-args,na
"Regardless how it was detected, the important issue it was detected and by doing so has revealed that the vaccines are not all that effective in stopping spread. But even more importantly is that the vaccine pps are truly illegitimate means of protection. https://t.co/goRiP3V5yl",neg,antivax-args,na
The selection follows “vax” as word of the year from those who publish the Oxford English Dictionary. https://t.co/vMyOWxT0D2,NA,NA,NA
Q: What is your risk for developing long COVID? A: Vaccinated people are 47% less likely to develop long COVID. Learn more: https://t.co/svpItgp4HB https://t.co/NSakex9Pzj,pos,vax-efficiency,non-ca
10% of kids aged 5-11 in Waterloo Region have now had a dose of COVID-19 vaccine | https://t.co/s5BcXp5xc6 https://t.co/JXTobXRTVx,pos,vax-logistics,ca
"On Omicron, uncertainty, vaccine equity, and the media https://t.co/7E0iszXutD via @cjr",neut,omicron,na
"The CMS vaccine mandate for healthcare workers has been stayed by a federal court in Missouri which issued a preliminary injunction. If the injunction is appealed it will be heard by the 8th Circuit, which has a conservative majori…https://t.co/xrO8IOYwgy https://t.co/ENXbSIdKbH",neg,vax-legal,non-ca
Petition: Fast-track rollout of Covid vaccine in 5-11s post MHRA approval https://t.co/UR5b2u0Bet,pos,vax-logistics,na
Don’t fall for this cynical ploy. The implication here is that most parents want &amp; will accept a vaccine for their 5-11 years olds who don’t stand to benefit from said vaccine the way governments and Big Pharma do. Watch that February ‘22 marker get pushed further down the road. https://t.co/IPrADVt0jI,neg,vax-logistics,non-ca
Court Blocks Biden Healthcare Worker Vaccine Mandate In 10 States https://t.co/IVwViQoryh,neg,vax-legal,non-ca
"Global Unions join Biden, EU Parliament in call for urgent waiver on vaccine patents to tackle dangerous new variants https://t.co/NjTKEUl4p3

Over 200m workers from around the world - this is what #unionsolidarity is all about!",pos,vax-legal,non-ca
Pray that others parents of vaccine-injured children will be convicted like this father. Some of them are defending the vaxx in spite of dramatic &amp; life-changing injuries for their children. https://t.co/v46l269rlo,neg,antivax-args,non-ca
"During our Mobile Vaccine Event, we had kids participate in our #unitedagainsthateweek coloring contest! They are super creative and remarkable! Tomorrow we will announce our winners, so keep a lookout for that phone call.

@lavshate @211lacounty #lavshate https://t.co/ze9cwlvx5f",pos,vax-logistics,non-ca
"Where is the action/activity underpinning that oft-heard phrase  ""Nobody is safe until we are all safe""? Extra booster jabs in the UK won't stop variants emerging in countries where vaccine availability is low.",neg,vax-logistics,non-ca
".@POTUS is right—vaccinating yourself, your children, and receiving your booster is the best way to remain safe and healthy. Text your zip code to 438829 to find a vaccine provider near you. #Weneedyou https://t.co/ZDFlGkF5Wq",pos,vax-logistics,non-ca
State-Level Republicans Prepare Aid for Citizens Unemployed by Vaccine Mandates https://t.co/uYmy33dNRg,pos,vax-logistics,non-ca
Looks like markets go up when those in control of resources plan for the worst possible outcomes. Unlike what Republicans advocate. “It’s just another flu like illness” when they KNOW it’s much worse and 10X as deadly.  https://t.co/aE5dq9epym,neut,vax-logistics,non-ca
"#Republican Rep. Nancy Mace - Dismisses Vaccine on Fox &amp; then Praises It on #CNN
A Breathtaking Flip Flop
#Republicans OK telling people what they want to hear or LYING to #Americans. If they LIE about #COVID19 - What else are they LYING to You About
https://t.co/kwr3iGiERc",neg,antivax-args,non-ca
"Important: Betwn
#COVID19 Announcement 30/01/2020
&amp;
#Omicron variant announc. 26/11/2021
.
666 days ..
.
Dont miss this ..
.
#covidvariant #Corona #Vaxxed #NoVaccinePassports #OmicronVariant #ThirdWave #ENHYPEN #tellonym #İstanbul #PTD_ON_STAGE_LA_Day2 #LiSA #HalaMadrid #vaccine",neut,omicron,non-ca
"When it comes to prostituting yourself out for money some people are willing to do just about anything!

Republican Dismisses Vaccine on Fox News, Praises It on CNN in Breathtaking Flip Flop https://t.co/d9ZtaDmEdB via @Yahoo",neg,vax-logistics,non-ca
Put the vaccine in a vape and I bet the whole country will be vaccinated in a week.💯,pos,vax-logistics,na
"Chinese President Xi says Beijing will sent 1 billion #COVID19 vaccine doses to Africa to help continent contain rising infection rates sparked by highly transmissible omicron variant
https://t.co/HjGmg7nVKA",pos,vax-logistics,non-ca
"Vaccine ye ke a e belaela, 3 beers I am already speaking good English Marr, since vaccination ga di mpone 🤦🏾‍♂️",neg,antivax-args,na
"So this is the first time in history that a so called vaccine needs boosting every 3 months.
At what point are the jabbed going to admit they have been conned ? It neither stops you getting the virus or stops you transmitting it. Therefore it cannot create herd immunity. https://t.co/MY1z2yHMWs",neg,antivax-args,na
Winnipeg First Responders Stand for Freedom - A 10-year police veteran warns that we're heading down a “dark path” as we continue to accept pandemic rules without question. #vaccine #covid19 #cdnpoli #NoMandates https://t.co/NDcxYdBizF,neg,vax-logistics,non-ca
"WTAF! Patent just been granted which people need to see 👀

#freedom #patent #covid #vaccine #Omicron https://t.co/3EIU7DrZ6e",neg,antivax-args,na
"New variant oh please stop!!! This is just to push the booster and to push the vaccine on children. No Joe, the vaccine does not prevent people from getting the virus or from spreading it. This is treatable with proven and safe medicines.",neg,antivax-args,non-ca
