text,sentiment,labels,ca_related,day,filter_type
"But I am guessing her case is mild and she is not hospitalized on a ventilator. That's the protection of the vaccine. As Fauci says, the vaccine will most likely keep you out of the hospital and keep you from dying. The Data proves Fauci right. https://t.co/bt9w37Fayw",pos,vax-efficiency,na,30_nov,keyword
"I don’t blame Ecuador for trying to be safe. I wish their requirements gave a little extra time for testing, but I blame every jackass who refused to stay home, where a goddamned mask, or get vaccinated. Go get your goddamn vaccine or booster. https://t.co/4u6prnDsOK",pos,pandemic-logistics,na,30_nov,keyword
"The #OmicronVariant is cause for concern but not panic. The best way to protect yourself and others is to get the #COVID19 vaccine if you have not done so yet, or get the booster if you are eligible to receive it!

https://t.co/UKssiEQHrR",pos,pandemic-logistics,na,30_nov,keyword
European Commission: Vaccine Equality: a Global Response of Collaboration with Africa on COVID-19 - Sign the Petition! https://t.co/9I9vm3Qnos via @Change,pos,pandemic-legal,non-ca,30_nov,keyword
"Vaccinated people will Vaccine again, lot of holes in your body hey...",pos,pandemic-logistics,na,30_nov,keyword
"The Omicron variant could lead to more infections among vaccinated people but they will most likely remain protected from a severe course of illness, according to the BioNTech co-founder #omicron #vaccine #medical #healthcare #covid #virology #infection  https://t.co/3tLZESBWgN",pos,covid-new-variant,na,30_nov,keyword
"I'm a proud Democrat that got my booster 6 months after my 2nd Pfizer vaccine.
My whole house did and are 👍. https://t.co/XRLKyXkbGv",pos,pandemic-logistics,na,30_nov,keyword
"The joke is on us. And you still think they complied, took the vaccine..!? Well, keep thinking that..!😅😂🤣🤣🤣🤣🤣 https://t.co/dZM3uV49xl",pos,covid-controversy,na,30_nov,keyword
"She sits on committee for VACCINE PASSPORTS. TODAY They vote on IT aka DIGITAL VACCINE SYSTEM in OREGON. It’s coming.
https://t.co/eniUNhEfc1 https://t.co/Pwx91o2NFK",pos,pandemic-legal,non-ca,30_nov,keyword
Vaccine efficacy refers to a vaccine's ability to stimulate the production of antibodies by the immune immune system. That's pretty much it.,pos,vax-efficiency,na,30_nov,keyword
"Coronavirus: Kiwis need to police vaccine requirements at private gatherings or face a fine, Health Minister Andrew Little warns  https://t.co/j90YG4ihBk",pos,pandemic-logistics,non-ca,30_nov,keyword
I would like to suggest that vaccine passports be required to enter any hospital for any reason.,pos,pandemic-logistics,na,30_nov,keyword
Yale study: Unvaccinated white evangelicals appear immune to pro-vaccine messaging https://t.co/Rd6mcaX0Xr,pos,covid-controversy,non-ca,30_nov,keyword
"A U.S. district judge in Missouri has ruled that the federal Centers for Medicare and Medicaid Services did not have authority to order hospitals, nursing homes and other health care providers to vaccinate all of their workers. https://t.co/l8cyTdw2JK @DMRegister #Iowa #COVID",pos,pandemic-legal,non-ca,30_nov,keyword
"In an effort to show how safe vaccines are, you clearly have to post details of people who've died despite having the vaccine

The reality of Covid is: Overall figures
Population 7.9 Billion
Died from Covid 0.00521 Billion https://t.co/TNtpjUommq",pos,covid-controversy,na,30_nov,keyword
Who needs a #flushot? You! #Fluseason starts to ramp up at the #holidays. It takes about two weeks to be protected. Vaccination before Vacation is your best defense. #Flushots are available at our #immunization clinics: : https://t.co/xier9VwHhc #FightFlu https://t.co/RYP4xsHGr3,pos,pandemic-logistics,na,30_nov,keyword
Got my third vaccine/booster today. I didn't even feel the needle for the 2nd shot but I definitely felt it today. Seems like Covid's about to get a lot worse but hopefully this will help. #Vaccinated #Booster #Covid19,pos,pandemic-logistics,na,30_nov,keyword
"UK calls in army to support Covid-19 booster vaccine campaign amid #Omicron variant spread
https://t.co/OJDNUCXv2t",pos,pandemic-legal,non-ca,30_nov,keyword
Ben &amp; Leah came from Winnipeg to receive their COVID vaccine at the Brandon Supersite.  It was special for them because they are the grandchildren of Jane Skinner the Regional Manager for PMH COVID Vaccine Sites. PMH COVID clinics visit:  https://t.co/pylC0tADx4 https://t.co/oHmvcj021N,pos,pandemic-logistics,ca,30_nov,keyword
Biden Admin will not enforce the vaccine deadline it imposed on federal workers - Real America's Voice News https://t.co/2lHjqJne3n,pos,pandemic-legal,non-ca,30_nov,keyword
"Ahmedabad has at least 6795 new slots available between 30-11-21 &amp; 07-12-21.

Covishield:
Dose1- 18+/45+:2271/0
Dose2- 18+/45+:2225/0

Covaxin:
Dose1- 18+/45+:0/0
Dose2- 18+/45+:2299/0

Book one now at https://t.co/xbSrfOwtUe #vaccine #cowin #covid #Ahmedabad",pos,pandemic-logistics,non-ca,30_nov,keyword
"Boris Johnson vows booster jabs for all adults by end of January (POLITICO)

All eligible English adults will be offered a third coronavirus vaccine by the end of Januar...

Add your highlights:
https://t.co/kKP1KdGoTo
 #europe #politics #...",pos,pandemic-logistics,na,30_nov,keyword
"You're getting the vaccine? Not me! I'm extremely careful about what I put into my body.
Hold on a second...yes, I'd like a McRib, fries and Coke...supersized, please.",pos,covid-controversy,na,30_nov,keyword
"The vaccine, called Aspenovax, will be manufactured from drug substance supplied by Johnson &amp; Johnson and sold to public sector markets in Africa. https://t.co/xeqNd5naug",pos,pandemic-logistics,non-ca,30_nov,keyword
"Against Vaccine Passports Directory has been set up with the aim of connecting likeminded local businesses with customers.
Businesses who support the notion of freedom and want to be part of a community that promotes unification and inclusivity.
https://t.co/Uj4uIi3P8Y https://t.co/upuXEKR1Sh",pos,pandemic-logistics,na,30_nov,keyword
"* COVID-19 * The #Pfizer CEO announced when his company could have a new shot to protect against the #Omicron #COVID19 variant, and believes their anti-viral pills will be effective in reducing hospitalizations, deaths. #DailyVoice https://t.co/NhQQGU8t2V",pos,covid-new-variant,na,30_nov,keyword
"In Nova Scotia there's no minimum age for kids to consent to a COVID-19 vaccine without their parent's approval.

""Mature minors"" can consent if a vaccine provider finds them capable of doing so. #cdnpoli #nspoli

https://t.co/e16GBZubY5",pos,pandemic-logistics,ca,30_nov,keyword
"Slovenia: Drivers Must Present COVID Certificate in Order to Refuel Cars - Global ResearchGlobal Research - Centre for Research on Globalization https://t.co/mFSuQtoE9l
If no gas isn't a good reason not to get your graphene nano-razor blades in your vaccine, what is?",pos,pandemic-legal,non-ca,30_nov,keyword
I’ve had #Covid and without the vaccines it would’ve been a lot worse. Tweets like this really don’t help misinformation spreading. Maybe put time into doing research on the vaccine instead of flogging your #CBD oil! https://t.co/uFcTFPxbpo,pos,vax-efficiency,na,30_nov,keyword
"LMAOOOO TRINIDAD IS JOKES VACCINE SEGREGATION- I'm sage though, y'all stay good https://t.co/yPJhnNe1kj",pos,covid-controversy,na,30_nov,keyword
"The #OmicronVariant reflects the threat of prolonged vaccine injustice. The longer we take to deliver #VaccinEquity, the more we allow the #COVID19 virus to circulate, mutate and become potentially more dangerous via @DrTedros @WHO @DrAmbrishMithal @CDCgov @NHSuk @thewire_in https://t.co/ECmFWYF29Q",pos,pandemic-logistics,na,30_nov,keyword
"Protection offered by COVID-19 vaccines reduces over time, that's why we're inviting people for a booster jab from 3 months after their second dose.

Your health board will contact you when it’s your turn.

Stay protected this winter. #KeepWalesSafe

https://t.co/0caMFyLFnA https://t.co/WfJ8u9L977",pos,vax-efficiency,na,30_nov,keyword
"Just like other hospitality businesses in NZ, visitors to Virtual &amp; Retro aged 12+ will need to show their vaccine pass from Thursday 2nd December.

If you already have a booking we'll be in touch to make sure that we're all on the same page and ready to have some fun. Stay safe! https://t.co/ddcfS2uPnO",pos,pandemic-logistics,non-ca,30_nov,keyword
I’m vaccinated but if anyone chooses not to be that’s the least of my concerns because it doesn’t affect my well-being. You can still get Covid after the vaccine! it just curbs the effects of the virus on YOUR body. Let people decide what gets in their body!,pos,covid-controversy,na,30_nov,keyword
"You are welcome to safeguard your right not to take a vaccine, but others have rights also, like not allowing you in certain places. https://t.co/fjrSPSuMUn",pos,covid-controversy,na,30_nov,keyword
"My heart goes out to those women .  This isn’t a coincidence this is the covid vaxx killing these babies.  If you’re pregnant or are trying to get pregnant please, please don’t get the covid vaccine.  The CDC, FDA, Fauci and our government lying to you. https://t.co/73ME7iknqV",pos,vax-efficiency,na,30_nov,keyword
RT ninaturner: RT @SenSanders: The time for debate by the members of the World Trade Organization is over. We must urgently move NOW to dismantle the vaccine inequality that undermines our ability to confront this crisis and make vaccine technologies ava… https://t.co/5xGvMCQZGC,pos,pandemic-logistics,na,30_nov,keyword
bro pfizer better work with this Omarion strain cuz ion have time to be doin this vaccine shit again 😒,pos,vax-efficiency,na,30_nov,keyword
"I think u should have a conversation with
@MarcusLamb . Oh you can’t he just died of Covid. Another anti-vaxxer. Stop spreading misinformation. The vaccine protects you from death and serious illness. Not from getting the virus completely. You know this. Shame on you. https://t.co/IwEcnotLIK",pos,vax-efficiency,na,30_nov,keyword
"DeSantis doesn't deserve to be in the shadows of a vaccine salesman. If Trump runs, DeSantis needs to stay in Florida so Florida doesn't go to shit. https://t.co/B9ylPtsX4H",pos,covid-controversy,non-ca,30_nov,keyword
"Omicron-Specific Vaccines Can Be Ready in 100 Days, Pfizer
and Moderna CEOs Say
https://t.co/aYlWsfK0ju",pos,covid-new-variant,na,30_nov,keyword
"""We saw a threefold increase in our vaccine booster walk-ins, so now we’re doing up to 400+ a day."" #TuftsMC Director of Emergency Management @Nick_Duncan_EM speaks with @WCVB about the surge in people seeking #COVID19 vaccine boosters. https://t.co/BF7IMF4Qgf",pos,pandemic-logistics,na,30_nov,keyword
CentraState is offering the COVID-19 vaccine to those ages 5 to 11 on December 3rd by appointment only. Get back to the moments that matter most. Visit https://t.co/bTbX2obeYQ to schedule. https://t.co/CmDmIDMaCW,pos,pandemic-logistics,na,30_nov,keyword
"Johnson says vaccine centres will be ""popping up like xmas trees"" which sounds great until you remember there is a shortage of Xmas trees in Brexit Britain. Next he'll be claiming they are as ubiquitous as turkeys. Which aren't.",pos,pandemic-logistics,na,30_nov,keyword
"Xi Jingpin pledges another 1 billion #COVID19 vaccine doses for #Africa. #US committed another 17 mln doses to the #AfricanUnion. Quantities differ!
#China #vaccine #Covid #Covid_19 https://t.co/I6fpocKxHw",pos,pandemic-logistics,non-ca,30_nov,keyword
"Everyone 5 years and older in the U.S. is eligible for a #COVID19 vaccine and getting vaccinated is fast, easy, and free.

Ways to find a COVID-19 vaccine near you:

🔍Search https://t.co/c8GVVkqQt8
📱Text your ZIP code to 438829
📞Call 1-800-232-0233",pos,pandemic-logistics,non-ca,30_nov,keyword
Oil falls on vaccine efficacy worries; WTI down over 6% https://t.co/Bqyswiv16u via FXEmpire #forex #fx,pos,vax-efficiency,na,30_nov,keyword
"🚨💉VACCINE REQUIREMENT ANNOUNCEMENT💉🚨

Beloved DC, as of Thurs, Dec. 2, we'll require paper, photo, or electronic proof of COVID-19 vax for service.

It's cold, our outside doors are closed, &amp; this is safest for everyone.

Vaccines are free &amp; safe. Get one &amp; spend the❄️w/us!",pos,pandemic-logistics,na,30_nov,keyword
Omicron Vaccine Could Get Nod in 4 Months: EU Watchdog https://t.co/8vSVQbbsTb,pos,covid-new-variant,na,30_nov,keyword
Thank you Boris Johnson everytime I see Christmas trees I see vaccine centres #Christmastrees #vaccinecentres #BoosterJab #borisjohnson https://t.co/IYvIUrJJ2d,pos,pandemic-logistics,na,30_nov,keyword
"The #Omnicron variant will eventually make it's way 2 the US. Get #vaccinated with a booster. It does not prevent you from having kids &amp; is safe.

If you dont want to get sick get the #vaccine 2 protect against #COVID19 #Covid_19. It's free. Ignore the lies from crazy ppl https://t.co/fXD2AHvwav",pos,pandemic-logistics,non-ca,30_nov,keyword
"""I'm losing my Covid patience""
🙄🙄🙄🙄
If the ""vaccine"" worked then it wouldn't matter what others do. 🚩🚩🚩🚩

How does it feel to be a guinea pig in a failed medical experiment? 😂😂 https://t.co/g7gdK3Qbbq",pos,vax-efficiency,na,30_nov,keyword
"Care workers have worked hard and taken risks throughout the pandemic.

Many want to exercise their freedom to choose if they want the vaccine.

Should they have that right and keep their job?

Become a member and vote.

Let's see what the country thinks is fair. https://t.co/RWVPOH7FhF",pos,covid-controversy,na,30_nov,keyword
"#bbcnews

""the #vaccine will cut infection rates by 95""

""the vaccine will boost your level of immunity""

""you need 2 doses to boost immunity""

""you need a 3rd ""booster jab"" for the waning immunity""

""don't know if jabs protect from Omicron but get it anyway""",pos,vax-efficiency,na,30_nov,keyword
"Text from NHS Scotland today prompting me to come forward for my booster. 🙃

Seems for ours now we’re here in England we’ll have to go to a drop in centre and take our Scottish proof of vaccine to confirm we have had the first two jabs. 🤞🏻 https://t.co/LDKxBZpPDH",pos,pandemic-logistics,non-ca,30_nov,keyword
"Everyone in the United States 5 years or older is eligible for a COVID-19 vaccine. Regardless of current health, the CDC now recommends everyone 18 years of age or older get a booster shot. You can visit https://t.co/2n6hpYn0fR for more information.
#inhomecare #assuredinhomecare https://t.co/ggYj6NoZoE",pos,pandemic-logistics,non-ca,30_nov,keyword
"MILITARY VACCINE MANDATE: Some deadlines have already passed, others are quickly approaching. @OhioAdjGen tells me more than 90% of @OHNationalGuard airmen are fully vaccinated ahead of the 12/2 deadline. Ohio Army Guard soldiers have until 6/30 to get the shots. @SpectrumNews1OH https://t.co/eRsZ8qtq1q",pos,pandemic-logistics,na,30_nov,keyword
"#MARKET
'Markets fall on Omicron fears as officials offer vaccine reassurance'",neut,covid-new-variant,na,30_nov,keyword
"😷👀 DOES ANYONE ELSE think that the vaccine and booster uptake is not what were hoping for??? 🤔

Why else would we have had three Press Conferences in the space of four days saying exactly the same thing… 😜",neut,covid-controversy,na,30_nov,keyword
"It's quite condescending when...
Lawyers say, ""don't blame the judge"" ( Kyle's case)
Epidemiologists say, ""It took me a lot of time to book a vax apptmt. Hesitancy is not why we have low vaccine rate!""
Your degree doesn't give u an advantage in certain things.. just bcos!",neut,pandemic-logistics,non-ca,30_nov,keyword
Trump-appointed judges are pushing a huge right-wing lie in order to block vaccine mandates https://t.co/EYS4yuSRrl,neut,pandemic-legal,non-ca,30_nov,keyword
Who is eligible for the Covid booster vaccine and how can you book it? https://t.co/kvVyqlqLZk,neut,pandemic-logistics,na,30_nov,keyword
Sweden: Get Your Covid Vaccine Passport in a Chip in Your Hand #MarkOfTheBeast --VIDEO https://t.co/JZ3rLs9Hb6 via @gatewaypundit,neut,pandemic-logistics,non-ca,30_nov,keyword
"Why shocked? The data is out there for many months that vaccine efficiency drops like crazy; that vaccinated people can get infected, and that most masks either by design or how people use it is way less effective than what people think it is. Read more of my data tweets sir. https://t.co/lnQshpoNEW",neut,vax-efficiency,na,30_nov,keyword
"1,2,3,4,5 they tried to give me an experiment to keep me alive.
6,7,8,9,10 now they trying the same thing over again.

SOME VACCINE THAT!!!!",neut,pandemic-logistics,na,30_nov,keyword
"Like here is the thing, I didn’t make that post to be anti vaccine. I made it to share experiences of people with similar medical situations to help ease fears of getting it. It’s not that we don’t want to get it, it’s that we want to feel and be assured it’s safe to.",neut,covid-controversy,na,30_nov,keyword
my irl asked our teacher if he got the vaccine and he replied in the most angry tone “that’s a personal question”,neut,covid-controversy,na,30_nov,keyword
Wait what? FDA wants 55 years to process FOIA request over vaccine data https://t.co/4DayTRPs1n,neut,pandemic-legal,na,30_nov,keyword
Covid booster jabs: GPs to be paid between £15 to £30 per vaccine administered as roll-out ramps up https://t.co/3rpnYh3CgY,neut,pandemic-logistics,na,30_nov,keyword
"Why anti-vaxxers are cunts. Part 2.

I should clarify I don't mean Jon, the subject of the story. I mean those that persuaded him not to get the vaccine and those that push the anti-vax message https://t.co/GLzsurqASd",neut,covid-controversy,na,30_nov,keyword
Anyone on these streets know how I can get my Covid-19 digital vaccine certificate?,neut,pandemic-logistics,na,30_nov,keyword
"Gr8 retired NHS Doc just makes2much sense+interviewer wants him 2b pro-mandate+lockdowns
{b4 we have ANY data on omicron}.
I like that he says the opposite, even mocks a healthcare person's comment:
""looks like new variant can evade the vaccine...so, go get your booster""

huh?!🤦‍♂️ https://t.co/6F5Qb3TZKR",neut,pandemic-logistics,na,30_nov,keyword
Moderna CEO expects a ‘material drop’ in COVID vaccine effectiveness from Omicron variant https://t.co/FtBhJMvnOK https://t.co/8VtkegJwFD,neut,covid-new-variant,na,30_nov,keyword
Here is a question. A returning Zimbabwean resident vaccinated in Zimbabwe with a negative PCR test has to quarantine?. What does that say about the vaccine? https://t.co/hSI7f4mqfc,neut,covid-controversy,non-ca,30_nov,keyword
"Same here in Canada, really not that big of a deal. We also have vaccine passports and again, not hard to flash your phone at the server for 2 seconds. People need reality checks. https://t.co/y6A83SPvB7",neut,covid-controversy,ca,30_nov,keyword
"RT @peterbakernyt: .@PeterHotez calculates that 150,000 unvaccinated people in the United States have died of covid since June 1, when the vaccine was widely available.",neut,covid-controversy,non-ca,30_nov,keyword
The Canada Border Services Agency (CBSA) says it has intercepted hundreds of suspected falsified or fraudulent COVID-19 test results and proof of vaccination credentials since they were required for travel. https://t.co/ra7dJRWiZH,neut,pandemic-legal,ca,30_nov,keyword
"Covid: Greece to fine over-60s who refuse Covid-19 vaccine by new stratus energy  Fines of €100 (£85) will be imposed from mid-January, with the money going towards healthcare.  https://t.co/d2Q759h1th BBC News - World
https://t.co/8gildeIPpe",neut,pandemic-legal,non-ca,30_nov,keyword
"Judge blocks vaccine mandate for health care workers in 10 states. This judge's decision is based on his uninformed and unscientific misunderstanding of how vaccines work and the impact that #COVID has on the system as a whole, not just the individual.  https://t.co/q4MJhyYzsF",neut,pandemic-legal,na,30_nov,keyword
So y’all think the vaccine they forced us to get is working or nah? 👀,neut,covid-controversy,na,30_nov,keyword
"Following today’s announcement about the need for Covid-19 booster vaccines. some patients have asked me if it is unusual to receive three doses of a vaccine.

Answer: Many commonly used vaccines require three or more doses to generate a good immune response.",neut,covid-controversy,na,30_nov,keyword
Do you have to show a vaccine card to board a domestic flight?,neut,pandemic-logistics,na,30_nov,keyword
D1 AND D2 PEOPLE - is a digital vaccine card ok? i have no idea where my physical one is but i have a pic and saved it in my apple wallet,neut,pandemic-logistics,na,30_nov,keyword
Did someone capture how many times #vaccine inequity was mentioned at #COP26? @KlimaGesundheit @w_leadersph @ph_alliance @LSHTM_Planet @nicoledepaula @Sophie_A_G @RenzoGuinto @LancetCountdown,neut,covid-controversy,na,30_nov,keyword
"Personal health care decisions should be up to individual Americans in consultation with their doctor, not coerced by the federal government.

This is why @Heritage is suing the Biden Administration over the vaccine mandate.
https://t.co/qgcSbWHt8x",neut,pandemic-legal,non-ca,30_nov,keyword
"For those in Idaho and Utah, as the vaccine mandate is making it way here, keep this in mind https://t.co/ZTw9eGaCvG",neut,pandemic-logistics,non-ca,30_nov,keyword
"There is no other explanation as to why the global elites, Fauci, Gates, CDC, lgbtqp and Children's Hospital, Democrats, RINO's, Fake news media the mentally ill are all pushing children and their parents to take covid Vaccine and consume food with the MRNA and spike protein. https://t.co/x42Dq4fVyg",neut,covid-controversy,na,30_nov,keyword
"Covid Briefing: UK reports 39,716 cases · army to accelerate booster rollout

https://t.co/vzWOgLRhkZ

Sent via @updayUK",neut,pandemic-logistics,non-ca,30_nov,keyword
Can I just say reading some of the negative comments on my video tonight with my oncologist about the vaccine I find it is very troubling that there are so many stupid people who think they’re so much cleverer than those whose job it is to look after us when we are ill.,neut,covid-controversy,na,30_nov,keyword
Massachusetts may soon unveil a digital vaccine passport — but the Baker administration on Tuesday clarified it will stop short of mandating the technology’s use across the state. #mapoli https://t.co/wKj6uT2Jxz,neut,pandemic-logistics,non-ca,30_nov,keyword
Tuesday” #fundraiser!! They have falsely labeled us for hate speech and #vaccine misinformation. We want everyone to still donate but we will be using PayPal! All funds should be sent to Israel@Israelunite•org and label funds “Takeover Tuesday” thank you so much https://t.co/tIGNqvub0w,neut,covid-controversy,na,30_nov,keyword
i would like to hear less about how omicron has affected stocks since its discovery and more about what the plan is for making sure everyone across the globe has access to a vaccine during an almost two-year-long global health crisis... if there even is one,neut,covid-new-variant,na,30_nov,keyword
"Religious Exemptions to COVID-19 Vaccine Mandates Do Not Include Political, Social ... - JD Supr - https://t.co/FcvakIeZCk #GoogleAlerts",neut,covid-controversy,na,30_nov,keyword
Court halts San Diego district's vaccine mandate for students 16 and older https://t.co/MICWso3ctC,neut,pandemic-legal,non-ca,30_nov,keyword
"I Choose to vaccinate, But I disagree with a Mandate the Vaccinate
What’s Next Mandate the Vaccine for ???? https://t.co/6Yv1qBFfZL",neut,covid-controversy,na,30_nov,keyword
"Vaccine inequity can lead to more Covid variants, waive IP rights immediately, India warns WTO
https://t.co/KJ0ogvIWsy",neut,pandemic-legal,non-ca,30_nov,keyword
"Be sure to check out @alhkim of @WUSTLmed discussing the immunogenicity of vaccine responses - including the #COVID19 vaccine - among patients with rheumatic diseases. #Rheum #RheumTwitter
https://t.co/MqldwtTqae",neut,vax-efficiency,na,30_nov,keyword
Will the #Moderna #OmicronVariant  Booster Push The Stock to $500? Technical Analysis &amp; Price Prediction!! 🚀 (2/3 ) Full video on Youtube: investwithjo #mrna #mrnastock #modernastock #stock #vaccine #invest #finance #technicalanalysis #daytrading #stockmarket #robinhood #crypto https://t.co/k3b11PDjOm,neut,covid-new-variant,na,30_nov,keyword
"The #EMA reporting of the vaccine side effects goes into a fantastic level of detail that frankly embarrasses the #MHRA #YellowCard scheme

Question - does anyone know where to extract the number of #Fatal events from within the report #Pfizer show here?

https://t.co/NRT8ABP9pF https://t.co/3woGL6EAmx",neut,vax-efficiency,na,30_nov,keyword
"You look satanic @sajidjavid

This is terrifying the way you were in this short clip and its made me double down on my decision not to take this trial vaccine that doesn't actually fix anything. https://t.co/53PlcOxHq6",neg,vax-efficiency,na,30_nov,keyword
When are the train containers coming?  There will be families who don't want the vaccine hiding out in attics. https://t.co/1wXD3sSxRm,neg,covid-controversy,na,30_nov,keyword
Tell me the facts @RepSwalwell. What are they? That the #vaccinated are contracting #covid at the same rate as the #unvaccinated? They spread it at the same rate? Some people die from the #vaccine? Have patience and explain it to me. https://t.co/lWG8fQwUil,neg,covid-controversy,na,30_nov,keyword
"Got fired yesterday for not complying with my employer’s vaccine &amp; testing policy. They picked the wrong haole.

https://t.co/gd6jYFWoSP",neg,pandemic-legal,na,30_nov,keyword
"Federal judge blocks Biden vaccine mandate for health care workers in Missouri, 9 other states https://t.co/MO8qKanBuP via @springfieldNL",neg,pandemic-legal,non-ca,30_nov,keyword
"Vaccine supremacists are the opposite of moral people.

They demand that their feelings override your right to bodily autonomy, and demand you be injected with experimental drugs which have been shown to kill and disable.",neg,covid-controversy,na,30_nov,keyword
Barbados’ independence is a hella as Omicron (a possibly vaccine evasive variant)is detected is a rass ending to COVID season 2,neg,covid-new-variant,na,30_nov,keyword
"SC officials raised concerns about this vaccine sign-up system, but DHEC still chose to use it. Why? https://t.co/QcA9MRfH60 @scdhec VAMS was the worst system ever!  I had difficulty navigating it and I’m pretty computer literate and have a masters degree.",neg,pandemic-logistics,na,30_nov,keyword
Ludovic Clerc - Died from Moderna Vaccine - No More Silence - Telling Our Stories No lire silence ⁦@Defenseurdroits⁩ ⁦@CNIL⁩  ⁦@RESEAUCHU⁩ ⁦@CHUdeToulouse⁩  https://t.co/1DzX3Kxbqq,neg,covid-controversy,na,30_nov,keyword
"If Covid was as deadly as feared;
If the vaccine was as effective advertised;
Then you would have a point.

There are varients with no symptoms (OMG!); and others that have the same issues as the common cold.

You're losing your patience? FU. You are a power hungry authoritarian. https://t.co/rKo1TDZ3re",neg,covid-controversy,na,30_nov,keyword
"French Govts plan 2 Impose Vaccine Mandates In Caribbean nations Martinique &amp; Guadeloupe backfires following massive protests &amp; riots, forcing mandate to stop.
Never forget power of people is greater than people in power, it just needs used correctly. https://t.co/wmQrHDHzeZ",neg,pandemic-legal,non-ca,30_nov,keyword
"They're not ""vaccine passports,"" they're movement licenses. It's not a vaccine, it's experimental gene therapy. ""Lockdown"" is at best completely pointless universal medical isolation and at worst ubiquitous public incarceration.

Call things what they are, not their euphemisms. https://t.co/GMNHHgBPJp",neg,covid-controversy,na,30_nov,keyword
"Sounds like everyone should catch it. Safer than the common cold and a HUGE factor safer than the gene therapy drugs #Omicron.

It is what a vaccine was supposed to be. https://t.co/mjKMpgC0DJ",neg,covid-controversy,na,30_nov,keyword
You will have strokes and heart attacks and be happy. #GreatReset #KlausSchwab #WEF #WorldEconomicForum #Covid19 #Corona #CoronaVirus #Vaccine #Vaccines #vaccinedeaths #Covid19Vaccine #CoronaVaccine #CoronaVirusVaccine https://t.co/2OsAp89Sos,neg,covid-controversy,na,30_nov,keyword
Defense secretary warns Oklahoma's GOP governor that troops who don't get COVID-19 vaccine are putting their careers in jeopardy https://t.co/UhmSx2P5PG,neg,pandemic-legal,non-ca,30_nov,keyword
"https://t.co/gdmD8MUStI
#Vaccine Will Lead to Catastrophe That Is Beyond Your Imagination

What #CCP  doesn’t allow to talk are all big issues, (it means) the vaccine will once again lead to catastrophe beyond your imagination

 #NFSC
#Produced by Himalaya Washington D.C.",neg,covid-controversy,na,30_nov,keyword
"Sweden: Introduces vaccine nazi- passports in a chip in your hand or elsewhere under the skin.

3 Conditions to be qualified : Democrat , Liberal and  Sheep https://t.co/UVQjnDqcz0",neg,covid-controversy,non-ca,30_nov,keyword
Omicron: A consequence of unequal vaccine distribution? | DW News https://t.co/WJF0tUqvbT,neg,covid-new-variant,na,30_nov,keyword
"There is a 99.95% chance of survival for people below the age of 50 and a 99.998% chance of survival for people below the age of 18 according to the CDC.

The vaccine does not provide immunity and therefore there is no chance of herd immunity through vaccination. https://t.co/ZkM5KRiUy2",neg,covid-controversy,na,30_nov,keyword
By creating vaccine mandates: who is the target market? Will the 60+ % unemplpoyed be bothered OR will the R350 be at risk? #MandatoryVaccination,neg,covid-controversy,na,30_nov,keyword
"""It is a sensitive subject in Germany as the Nazis used what they euphemistically called 'euthanasia' to exterminate around 200,000 disabled people.""

German euthanasia group says clients must have Covid-19 vaccine https://t.co/UHue2HwWAq",neg,covid-controversy,non-ca,30_nov,keyword
"Save Our Children!
Left uniting with right in massive grassroots resistance to vaccine mandates https://t.co/T8Rx1r91lE",neg,covid-controversy,na,30_nov,keyword
No one needed nor should've had a vaccine for a nearly harmless virus. Making nothing into something to distract and perpetuate fear is a Democrat tactic.,neg,covid-controversy,na,30_nov,keyword
never trust a bitch with a covid vaccine sticker on the back of their phone,neg,covid-controversy,na,30_nov,keyword
"People taking TNF inhibitors, a kind of immunosuppressive drug used to treat rheumatoid arthritis and other autoimmune conditions, produced a weaker antibody response after two doses of Pfizer's COVID-19 vaccine, according to a School of Medicine study. https://t.co/PUiddPthic",neg,vax-efficiency,na,30_nov,keyword
"It is upsetting how structural discrimination impacting education &amp; levels of trust with regards to institutions including healthcare can be associated with the decision not to get a #COVID19 vaccine.
Can impact the health of entire families.
Makes me sad.",neg,covid-controversy,na,30_nov,keyword
i wont really be able to eat lunch bc i got held over in rehearsal which made me late to my vaccine booster appointment!! i love christmas at belmont!!!,neg,pandemic-logistics,na,30_nov,keyword
"HIGHLY encourage everyone to listen to this if you have some time. It is about 20min long but so very important.

Vaccine Mandates are the Rehearsal, the Future will be Worse--Prof. Haskell https://t.co/HwPfnsqYTO",neg,covid-controversy,na,30_nov,keyword
Iam one of them 5 million people. I don’t listen to the news. That is the real enemy. I will never take the vaccine. There Agenda will be no more https://t.co/OZPAFHUNYk,neg,covid-controversy,na,30_nov,keyword
So we march with our feet. If some stupid son of a b**** judge won't let the Bible administration demand the hospital workers and nursing home workers get a vaccine or wear a mask and test weekly then we just refuse to associate with any place that doesn't demand it on their own!,neg,covid-controversy,na,30_nov,keyword
"There seems to be a lot of boxers who are against the vaccine/mask wearing etc. Not sure I'd put too much stock in the views of people who get punched in the head for a living, but that's just me.",neg,covid-controversy,na,30_nov,keyword
